"coaches_teams","coaches_names","PPS","alert_level","Games left","prediction","titles"
"FC Lugano","Maurizio Jacobacci (FC Lugano)",1.11111111111111,8,21.7348944739453,"Needs a win badly!",0
"FC Basel 1893","Ciriaco Sforza (FC Basel 1893)",1.1,7,31.6550340619555,"Should start winning soon!",12
"FC St. Gallen 1879","Peter Zeidler (FC St. Gallen 1879)",0.988888888888889,4,45.084360964263,"Doing just fine",0
"FC Vaduz","Mario Frick (FC Vaduz)",1.22222222222222,4,51.3746492314274,"Doing just fine",0
"Servette FC","Alain Geiger (Servette FC)",2.04444444444444,4,51.5554106987236,"Doing just fine",0
"FC Lausanne-Sport","Giorgio Contini (FC Lausanne-Sport)",1.33333333333333,3,55.1704922833979,"Should keep his job a while",2
"FC Zürich","Massimo Rizzo (FC Zürich)",1.2,3,55.7987508819871,"Should keep his job a while",5
"BSC Young Boys","Gerardo Seoane (BSC Young Boys)",1.88888888888889,2,60.6375178277879,"Does have nothing to worry about!",1
"FC Luzern","Fabio Celestini (FC Luzern)",1.66666666666667,2,63.0462534173696,"Does have nothing to worry about!",0
"FC Sion","Hugo Raczynski (FC Sion)",NA,0,NA,"Too few matches for a prediction",0
